"code","state","city","lat","lng","coslat","coslng","sinlat","sinlng"
"1129068500","서울특별시","성북구","37.6039","127.0294","0.79224811","-0.602224745","0.610199092","0.798326598"
"1129070500","서울특별시","성북구","37.5973","127.0336","0.792318395","-0.602283264","0.610107827","0.79828245"
"1129071500","서울특별시","성북구","37.6042","127.0361","0.792244915","-0.602318095","0.61020324","0.79825617"
"1129072500","서울특별시","성북구","37.5999","127.0417","0.792290708","-0.602396112","0.610143781","0.798197296"
"1129076000","서울특별시","성북구","37.6112","127.0459","0.792170359","-0.602454622","0.610300027","0.798153136"
"1129077000","서울특별시","성북구","37.6097","127.0567","0.792186336","-0.602605059","0.610279287","0.798039562"
"1129078000","서울특별시","성북구","37.6138","127.0587","0.792142664","-0.602632916","0.610335973","0.798018527"
"1129081000","서울특별시","성북구","37.6102","127.0635","0.792181011","-0.602699768","0.6102862","0.797968038"
"1130500000","서울특별시","강북구","37.637","127.0277","0.791895464","-0.602201058","0.610656675","0.798344466"
"1130553400","서울특별시","강북구","37.6245","127.0205","0.792028669","-0.60210073","0.610483896","0.798420134"
"1130553500","서울특별시","강북구","37.6241","127.029","0.792032931","-0.602219172","0.610478366","0.798330802"
"1130554500","서울특별시","강북구","37.6134","127.0358","0.792146925","-0.602313915","0.610330443","0.798259323"
"1130555500","서울특별시","강북구","37.6155","127.026","0.792124554","-0.60217737","0.610359477","0.798362333"
"1130557500","서울특별시","강북구","37.6144","127.0199","0.792136272","-0.602092369","0.610344269","0.798426439"
"1130559000","서울특별시","강북구","37.6352","127.031","0.791914648","-0.602247038","0.610631797","0.79830978"
"1130560000","서울특별시","강북구","37.6294","127.0409","0.791976457","-0.602384967","0.610551629","0.798205707"
"1130560600","서울특별시","강북구","37.6231","127.0487","0.792043586","-0.602493626","0.610464543","0.798123694"
"1130561000","서울특별시","강북구","37.6307","127.0193","0.791962604","-0.602084008","0.610569598","0.798432744"
"1130562000","서울특별시","강북구","37.6419","127.022","0.791843237","-0.602121633","0.610724397","0.798404371"
"1130563000","서울특별시","강북구","37.636","127.0253","0.791906121","-0.602167617","0.610642854","0.79836969"
"1130564500","서울특별시","강북구","37.6452","127.0141","0.79180806","-0.602011542","0.610770002","0.798487384"
"1130566000","서울특별시","강북구","37.6387","127.0128","0.791877345","-0.601993425","0.610680171","0.798501043"
"1132000000","서울특별시","도봉구","37.6658","127.0495","0.791588414","-0.60250477","0.611054648","0.798115281"
"1132051100","서울특별시","도봉구","37.6456","127.046","0.791803796","-0.602456015","0.61077553","0.798152085"
"1132051200","서울특별시","도봉구","37.6387","127.0378","0.791877345","-0.60234178","0.610680171","0.798238298"
"1132051300","서울특별시","도봉구","37.6353","127.045","0.791913582","-0.602442084","0.610633179","0.798162599"
"1132051400","서울특별시","도봉구","37.6494","127.0537","0.791763286","-0.602563273","0.610828043","0.798071113"
"1132051500","서울특별시","도봉구","37.6492","127.0413","0.791765418","-0.60239054","0.61082528","0.798201502"
